annee,mois,jours,heure,uniqueCarrier,flightNum,tailNum,origin,dest,distance,canceled,cancellationCode,diverted,carrierDelay,weatherDelay,nasDelay,securityDelay,lateAircraftDelay
2008,1,1,2057,AS,324,N306AS,SEA,SJC,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,703,AS,572,N302AS,SEA,PSP,987,0,,0,NA,NA,NA,NA,NA
2008,1,1,2011,AS,511,N564AS,SAN,SEA,1050,0,,0,0,0,0,0,63
2008,1,1,2301,AS,376,N309AS,SEA,GEG,224,0,,0,NA,NA,NA,NA,NA
2008,1,1,1221,AS,729,N317AS,TUS,SEA,1216,0,,0,NA,NA,NA,NA,NA
2008,1,1,1843,AS,283,N318AS,LAX,SEA,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,2045,AS,211,N305AS,LAX,SEA,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,49,AS,100,N315AS,ANC,PDX,1542,0,,0,0,0,24,0,0
2008,1,1,1719,AS,665,N302AS,LAS,SEA,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,613,AS,531,N755AS,SJC,SEA,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,753,AS,571,N320AS,SEA,DEN,1024,0,,0,22,0,0,0,0
2008,1,1,NA,AS,154,N309AS,ANC,SEA,1449,1,A,0,NA,NA,NA,NA,NA
2008,1,1,741,AS,728,N317AS,SEA,TUS,1216,0,,0,NA,NA,NA,NA,NA
2008,1,1,1702,AS,518,N564AS,SEA,SAN,1050,0,,0,92,0,5,0,0
2008,1,1,1306,AS,580,N307AS,SEA,SAN,1050,0,,0,21,0,5,0,0
2008,1,1,2043,AS,85,N302AS,SEA,ANC,1449,0,,0,NA,NA,NA,NA,NA
2008,1,1,1405,AS,640,N302AS,SEA,LAS,866,0,,0,NA,NA,NA,NA,NA
2008,1,1,1050,AS,292,N319AS,SEA,LAX,954,0,,0,0,0,9,0,19
2008,1,1,1610,AS,478,N566AS,SEA,PSP,987,0,,0,15,0,5,0,0
2008,1,1,1639,AS,485,N577AS,LAX,SEA,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,1554,AS,277,N323AS,LAX,SEA,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,26,AS,198,N320AS,ANC,SEA,1449,0,,0,0,0,24,0,0
2008,1,1,717,AS,811,N319AS,DFW,SEA,1660,0,,0,0,0,16,17,0
2008,1,1,629,AS,210,N318AS,SEA,LAX,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,1211,AS,539,N320AS,DEN,SEA,1024,0,,0,NA,NA,NA,NA,NA
2008,1,1,1935,AS,295,N315AS,SFO,SEA,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,657,AS,254,N309AS,GEG,SEA,224,0,,0,NA,NA,NA,NA,NA
2008,1,1,929,AS,81,N799AS,ANC,FAI,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,1816,AS,413,N779AS,SMF,SEA,605,0,,0,NA,NA,NA,NA,NA
2008,1,1,1209,AS,532,N754AS,SEA,PSP,987,0,,0,0,0,21,0,0
2008,1,1,1002,AS,567,N778AS,SAN,PDX,933,0,,0,NA,NA,NA,NA,NA
2008,1,1,1013,AS,517,N791AS,LAX,SEA,954,0,,0,133,0,3,0,0
2008,1,1,700,AS,537,N625AS,DEN,SEA,1024,0,,0,NA,NA,NA,NA,NA
2008,1,1,1055,AS,690,N703AS,SFO,PSP,421,0,,0,NA,NA,NA,NA,NA
2008,1,1,635,AS,460,N784AS,SEA,SNA,978,0,,0,NA,NA,NA,NA,NA
2008,1,1,718,AS,60,N795AS,JNU,KTN,234,0,,0,NA,NA,NA,NA,NA
2008,1,1,1116,AS,392,N713AS,PDX,OAK,543,0,,0,NA,NA,NA,NA,NA
2008,1,1,1810,AS,67,N708AS,KTN,SIT,183,0,,0,53,0,0,0,0
2008,1,1,NA,AS,327,N792AS,SNA,PDX,859,1,A,0,NA,NA,NA,NA,NA
2008,1,1,1118,AS,334,N648AS,SEA,OAK,671,0,,0,NA,NA,NA,NA,NA
2008,1,1,859,AS,399,N754AS,SFO,SEA,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,1056,AS,499,N788AS,SNA,SEA,978,0,,0,NA,NA,NA,NA,NA
2008,1,1,1805,AS,410,N703AS,SEA,LAX,954,0,,0,NA,NA,NA,NA,NA
2008,1,1,1835,AS,374,N622AS,SEA,ONT,956,0,,0,NA,NA,NA,NA,NA
2008,1,1,1530,AS,67,N708AS,SEA,KTN,680,0,,0,NA,NA,NA,NA,NA
2008,1,1,1324,AS,522,N771AS,PDX,PSP,873,0,,0,NA,NA,NA,NA,NA
2008,1,1,638,AS,520,N778AS,SEA,SAN,1050,0,,0,NA,NA,NA,NA,NA
2008,1,1,2201,AS,70,N799AS,JNU,SIT,95,0,,0,NA,NA,NA,NA,NA
2008,1,1,1735,AS,521,N778AS,DEN,PDX,992,0,,0,17,0,0,0,0
2008,1,1,625,AS,397,N779AS,ONT,SEA,956,0,,0,NA,NA,NA,NA,NA
2008,1,1,610,AS,362,N713AS,PDX,SJC,569,0,,0,NA,NA,NA,NA,NA
2008,1,1,656,AS,399,N754AS,PSP,SFO,421,0,,0,NA,NA,NA,NA,NA
2008,1,1,1900,AS,375,N767AS,SJC,SEA,697,0,,0,0,0,0,0,18
2008,1,1,1223,AS,378,N794AS,SEA,SFO,679,0,,0,NA,NA,NA,NA,NA
2008,1,1,1210,AS,686,N755AS,SEA,LAS,866,0,,0,0,0,38,0,0
2008,1,1,1414,AS,332,N767AS,GEG,SEA,224,0,,0,22,0,0,0,0
2008,1,1,938,AS,394,N779AS,SEA,SJC,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,1816,AS,33,N799AS,ADQ,ANC,252,0,,0,NA,NA,NA,NA,NA
2008,1,1,1331,AS,62,N785AS,KTN,SEA,680,0,,0,0,0,29,0,0
2008,1,1,1801,AS,195,N784AS,SEA,ANC,1449,0,,0,NA,NA,NA,NA,NA
2008,1,1,1236,AS,339,N779AS,SJC,SEA,697,0,,0,NA,NA,NA,NA,NA
2008,1,1,2037,AS,67,N708AS,JNU,ANC,571,0,,0,0,0,0,0,21
2008,1,1,2021,AS,310,N782AS,PDX,SFO,550,0,,0,NA,NA,NA,NA,NA
2008,1,1,710,AS,355,N767AS,SNA,OAK,371,0,,0,NA,NA,NA,NA,NA
2008,1,1,1701,AS,227,N797AS,SAN,SEA,1050,0,,0,NA,NA,NA,NA,NA
2008,1,1,549,AS,62,N785AS,FAI,ANC,261,0,,0,NA,NA,NA,NA,NA
2008,1,1,2115,AS,466,N779AS,SEA,ONT,956,0,,0,NA,NA,NA,NA,NA
2008,1,1,1925,AS,500,N771AS,PDX,SNA,859,0,,0,NA,NA,NA,NA,NA
2008,1,1,1206,AS,355,N767AS,SEA,GEG,224,0,,0,NA,NA,NA,NA,NA
2008,1,1,1851,AS,431,N780AS,SNA,SEA,978,0,,0,NA,NA,NA,NA,NA
